       [Log] 11:57, INFO, reading: optimist.extension.dataextractor.OptimTimeDdomDmean enabled
       [Log] 11:57, INFO, reading: presage.extension.ioformat.PresageADAGEExport enabled
       [Log] 11:57, INFO, reading: stretch.extension.sketchaddon.sketcher.StretchSketcher enabled
       [Log] 11:57, INFO, reading: fiesta.extension.standviewer.SVFta enabled
       [Log] 11:57, INFO, reading: phenofit5.extension.standviewer.Fit5Viewer enabled
       [Log] 11:57, INFO, reading: ivy.extension.ioformat.IvInventory enabled
       [Log] 11:57, INFO, reading: samsara2.extension.intervener.PolygonGapMaker enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeRatioV6 enabled
       [Log] 11:57, INFO, reading: bidasoa.extension.dataextractor.FishWatershedTable enabled
       [Log] 11:57, INFO, reading: uqar.jackpine.extension.standviewer.JpViewer enabled
       [Log] 11:57, INFO, reading: presage.extension.intervener.PreRecolt enabled
       [Log] 11:57, INFO, reading: fireparadox.extension.intervener.LayerSetThinner enabled
       [Log] 11:57, INFO, reading: rreshar.extension.ioformat.RRSCohortExport enabled
       [Log] 11:57, INFO, reading: gymnos.extension.intervener.GymnoDeerProtection enabled
       [Log] 11:57, INFO, reading: oakpine2.extension.dataextractor.DEOpi2DistributionChecker%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DETimeMEDRB enabled
       [Log] 11:57, INFO, reading: mustard.extension.dataextractor.DETimeAfforestedArea enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DELargeDbhClassN%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: plantabsl.extension.dataextractor.PlantaLogDensityLogVolume2%defaultDataRenderer capsis.extension.datarenderer.drgraph.DRGraph
       [Log] 11:57, INFO, reading: quebecmrnf.extension.dataextractor.DEBasalAreaIncrementComponents enabled
       [Log] 11:57, INFO, reading: quebecmrnf.extension.dataextractor.DEHeightClassN2%defaultDataRenderer capsis.extension.datarenderer.drcurves.DRHistogram
       [Log] 11:57, INFO, reading: simmem.extension.intervener.SimThinner enabled
       [Log] 11:57, INFO, reading: capsis.extension.ioformat.LubSpagediExport enabled
       [Log] 11:57, INFO, reading: salem.model.SlmInventoryLoader enabled
       [Log] 11:57, INFO, reading: capsis.extension.dataextractor.DERipley enabled
